total_area,street
73.0,Малиновського
110.27,Сім'ї Сосніних
100.0,Лобановського (Червонозоряний)
58.0,Руставелі
79.0,Ломоносова
138.7,Інститутська
201.4,Антоновича (Горького)
87.0,Дніпровська
40.0,Предславинська
51.0,Коперника
48.0,Драгомирова
85.0,Драгомирова
76.0,Ревуцького
56.0,Пожарського
38.0,Гмирі
70.0,Приозерна
103.0,Коперника
56.44,Стеценка
69.0,Каштанова
47.39,Правди
50.0,Трускавецька
64.0,Наумова
96.0,Лобановського (Червонозоряний)
46.0,Салютна
44.0,Василенка
100.0,Палладіна
240.0,Міт. А. Шептицького (Анатолія Луначарського)
72.1,Балтійський
75.0,Дніпровська
78.0,Станіславського
126.0,Драгомирова
93.0,Правди
63.0,Максимовича (Онуфрія Трутенко)
44.0,ЖК PARKLAND
67.92,Причальна
52.0,Перемоги (Брест-Литовський)
99.0,Богданівська
96.0,Тверський
65.0,Набережно-Хрещатицька
50.0,Липківського (Урицького)
76.0,Правди
45.3,Дніпровська
99.0,Тютюнника (Анрі Барбюса)
74.7,3-кімнатна квартира 74
59.0,Правди
73.0,Закревського
62.0,Тверський
76.0,Туполєва
76.0,Глибочицька
210.0,Січових Стрільців (Артема)
33.0,Вишгородська
66.8,Бойчука (Кіквідзе)
62.0,Предславинська
102.1,Вадима Гетьмана
110.0,Драгоманова
51.0,Ніжинська
44.0,Кучера
91.0,Голосіївський (40-річчя Жовтня)
28.0,Іллєнко (Мельникова)
56.0,Бойчука (Кіквідзе)
67.3,Половецька
100.0,Володимирська
82.0,Гончара
122.0,Антоновича (Горького)
45.0,Метрологічна
75.0,Калнишевського (Михайло Майорова)
34.0,Зарічна
46.0,Тичини
100.0,Саперно-Слобідська
99.0,Комарова
75.0,Б. Житомирська
62.0,Каховська
76.0,Глибочицька
210.0,Січових Стрільців (Артема)
33.0,Вишгородська
66.8,Бойчука (Кіквідзе)
62.0,Предславинська
102.1,Вадима Гетьмана
110.0,Драгоманова
51.0,Ніжинська
44.0,Кучера
91.0,Голосіївський (40-річчя Жовтня)
28.0,Іллєнко (Мельникова)
56.0,Бойчука (Кіквідзе)
67.3,Половецька
100.0,Володимирська
82.0,Гончара
122.0,Антоновича (Горького)
45.0,Метрологічна
75.0,Калнишевського (Михайло Майорова)
34.0,Зарічна
46.0,Тичини
100.0,Саперно-Слобідська
99.0,Комарова
75.0,Б. Житомирська
62.0,Каховська
72.0,Оболонська
116.3,Червоноткацька
159.0,Драгомирова
76.0,Автозаводська
47.32,Тираспільська
44.0,Щербаківського (Щербакова)
95.0,Правди
240.0,Голосіївський (40-річчя Жовтня)
36.0,Максимовича (Онуфрія Трутенко)
50.0,Бойчука (Кіквідзе)
71.0,Тираспільська
60.51,Університетська
80.66,Оболонський
123.0,Ахматової
74.0,Правди
81.0,Зарічна
43.0,Закревського
84.0,Бориспільська
46.0,Герцена
55.0,Балтійський
136.0,Шаповала (Механізаторів)
21.31,Глибочицька
136.0,Салютна
41.0,Ревуцького
71.0,Набережно-Рибальська
57.0,Мар'яненко
149.0,Павлівська
50.0,Саперне Поле
75.0,Русовий
92.0,Драгомирова
60.0,Яблонській
70.99,Гончара
60.51,Університетська
55.0,Дніпровська
83.0,Регенераторна
55.0,Деміївська
36.0,Новопольова
65.0,Бастіонна
112.0,Сверстюка (Марини Раскової)
50.0,Героїв Сталінграда
68.0,Правди
85.0,Правди
51.0,Героїв Сталінграда
46.0,Яблучна
207.0,Коновальця (Щорса)
130.0,Героїв Сталінграда
81.0,Мирного
41.0,Заболотного
50.0,Сверстюка (Марини Раскової)
54.0,Предславинська
83.0,Заболотного
81.0,Омельяновича-Павленка (Суворова)
44.0,Єреванська
90.0,Чавдар
79.0,Бойчука (Кіквідзе)
43.0,Правди
51.0,Коперника
126.1,Лебедєва
54.9,Драгоманова
110.0,Ахматової
106.0,Голосіївський (40-річчя Жовтня)
72.0,Панельна
122.0,Січових Стрільців (Артема)
67.0,Заболотного
273.0,Богомольця
83.0,Палладіна
45.0,Перемоги (Брест-Литовський)
74.6,Богатирська
26.9,Червоноткацька
49.0,Зарічна
84.1,Бажана
183.0,Воздвиженська
48.3,Градинська
76.0,Глибочицька
160.0,Тургенєвська
40.82,Тираспільська
59.5,Ломоносова
73.0,Гречка
46.79,Правди
44.0,Ломоносова
75.0,Алмазова (Кутузова)
60.0,Лобановського (Червонозоряний)
34.0,Наумова
65.0,Полярна
190.0,Українки
240.0,Дарвіна
85.0,Драгомирова
48.0,Предславинська
75.0,Липківського (Урицького)
60.0,Паньківська
49.7,Лаврухіна
47.18,Василенка
50.0,Зарічна
71.0,Бендукідзе
30.34,Цісик (Гамарника)
68.0,Урлівська
44.0,Печерський
48.0,Саперне Поле
46.0,Крайня
63.9,Причальна
92.48,Микільсько-Ботанічна
63.0,Предславинська
71.0,Героїв Дніпра
