вул. Малиновського
вул. Сім'ї Сосніних
просп. Лобановського (Червонозоряний)
вул. Руставелі
вул. Ломоносова
вул. Інститутська
вул. Антоновича (Горького)
Дніпровська наб.
вул. Предславинська
вул. Коперника
вул. Драгомирова
вул. Драгомирова
вул. Ревуцького
вул. Пожарського
вул. Гмирі
вул. Приозерна
вул. Коперника
вул. Стеценка
вул. Каштанова
просп. Правди
вул. Трускавецька
вул. Наумова
просп. Лобановського (Червонозоряний)
вул. Салютна
вул. Василенка
просп. Палладіна
вул. Міт. А. Шептицького (Анатолія Луначарського)
Балтійський пров.
Дніпровська наб.
вул. Станіславського
вул. Драгомирова
просп. Правди
вул. Максимовича (Онуфрія Трутенко)
ЖК PARKLAND
вул. Причальна
просп. Перемоги (Брест-Литовський)
вул. Богданівська
Тверський туп.
вул. Набережно-Хрещатицька
вул. Липківського (Урицького)
просп. Правди
Дніпровська наб.
вул. Тютюнника (Анрі Барбюса)
3-кімнатна квартира 74
просп. Правди
вул. Закревського
Тверський туп.
вул. Туполєва
вул. Глибочицька
вул. Січових Стрільців (Артема)
вул. Вишгородська
вул. Бойчука (Кіквідзе)
вул. Предславинська
вул. Вадима Гетьмана
вул. Драгоманова
вул. Ніжинська
вул. Кучера
просп. Голосіївський (40-річчя Жовтня)
вул. Іллєнко (Мельникова)
вул. Бойчука (Кіквідзе)
вул. Половецька
вул. Володимирська
вул. Гончара
вул. Антоновича (Горького)
вул. Метрологічна
вул. Калнишевського (Михайло Майорова)
вул. Зарічна
просп. Тичини
вул. Саперно-Слобідська
просп. Комарова
вул. Б. Житомирська
вул. Каховська
вул. Глибочицька
вул. Січових Стрільців (Артема)
вул. Вишгородська
вул. Бойчука (Кіквідзе)
вул. Предславинська
вул. Вадима Гетьмана
вул. Драгоманова
вул. Ніжинська
вул. Кучера
просп. Голосіївський (40-річчя Жовтня)
вул. Іллєнко (Мельникова)
вул. Бойчука (Кіквідзе)
вул. Половецька
вул. Володимирська
вул. Гончара
вул. Антоновича (Горького)
вул. Метрологічна
вул. Калнишевського (Михайло Майорова)
вул. Зарічна
просп. Тичини
вул. Саперно-Слобідська
просп. Комарова
вул. Б. Житомирська
вул. Каховська
вул. Оболонська
вул. Червоноткацька
вул. Драгомирова
вул. Автозаводська
вул. Тираспільська
вул. Щербаківського (Щербакова)
просп. Правди
просп. Голосіївський (40-річчя Жовтня)
вул. Максимовича (Онуфрія Трутенко)
вул. Бойчука (Кіквідзе)
вул. Тираспільська
вул. Університетська
просп. Оболонський
вул. Ахматової
просп. Правди
вул. Зарічна
вул. Закревського
вул. Бориспільська
вул. Герцена
Балтійський пров.
вул. Шаповала (Механізаторів)
вул. Глибочицька
вул. Салютна
вул. Ревуцького
вул. Набережно-Рибальська
Мар'яненка пров.
вул. Павлівська
вул. Саперне Поле
вул. Русовий
вул. Драгомирова
вул. Яблонській
вул. Гончара
вул. Університетська
Дніпровська наб.
вул. Регенераторна
вул. Деміївська
вул. Новопольова
вул. Бастіонна
вул. Сверстюка (Марини Раскової)
просп. Героїв Сталінграда
просп. Правди
просп. Правди
просп. Героїв Сталінграда
вул. Яблучна
вул. Коновальця (Щорса)
просп. Героїв Сталінграда
вул. Мирного
вул. Заболотного
вул. Сверстюка (Марини Раскової)
вул. Предславинська
вул. Заболотного
вул. Омельяновича-Павленка (Суворова)
вул. Єреванська
вул. Чавдар
вул. Бойчука (Кіквідзе)
просп. Правди
вул. Коперника
вул. Лебедєва
вул. Драгоманова
вул. Ахматової
просп. Голосіївський (40-річчя Жовтня)
вул. Панельна
вул. Січових Стрільців (Артема)
вул. Заболотного
вул. Богомольця
просп. Палладіна
просп. Перемоги (Брест-Литовський)
вул. Богатирська
вул. Червоноткацька
вул. Зарічна
просп. Бажана
вул. Воздвиженська
вул. Градинська
вул. Глибочицька
вул. Тургенєвська
вул. Тираспільська
вул. Ломоносова
вул. Гречка
просп. Правди
вул. Ломоносова
вул. Алмазова (Кутузова)
просп. Лобановського (Червонозоряний)
вул. Наумова
вул. Полярна
бульв. Українки
